split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
0,Botswana,cae,supervised,50,logistic_regression,0.9776295133437991,0.9788982563855294,0.9776295133437991,0.9776918735471224,experiment_20250329_002249
1,Botswana,cae,supervised,50,logistic_regression,0.9866562009419152,0.9869572515008702,0.9866562009419152,0.9866196997457537,experiment_20250329_002249
2,Botswana,cae,supervised,50,logistic_regression,0.9764521193092621,0.977654357191574,0.9764521193092621,0.9764853346964772,experiment_20250329_002249
3,Botswana,cae,supervised,50,logistic_regression,0.9843014128728415,0.9843179804264134,0.9843014128728415,0.984272793873469,experiment_20250329_002249
4,Botswana,cae,supervised,50,logistic_regression,0.9823390894819466,0.9831019880050414,0.9823390894819466,0.9824133857998444,experiment_20250329_002249
5,Botswana,cae,supervised,50,logistic_regression,0.9874411302982732,0.987838270951146,0.9874411302982732,0.9874040255213141,experiment_20250329_002249
6,Botswana,cae,supervised,50,logistic_regression,0.9886185243328101,0.9888358432089267,0.9886185243328101,0.9886431041007323,experiment_20250329_002249
7,Botswana,cae,supervised,50,logistic_regression,0.9866562009419152,0.9871166683688917,0.9866562009419152,0.9866838091018533,experiment_20250329_002249
8,Botswana,cae,supervised,50,logistic_regression,0.9897959183673469,0.990035094296743,0.9897959183673469,0.9898133827946922,experiment_20250329_002249
9,Botswana,cae,supervised,50,logistic_regression,0.9823390894819466,0.9831514550235863,0.9823390894819466,0.9823771313180166,experiment_20250329_002249
0,Botswana,cae,supervised,50,neural_network,0.9846938775510204,0.9851644985502769,0.9846938775510204,0.9846923788174342,experiment_20250329_002339
1,Botswana,cae,supervised,50,neural_network,0.989010989010989,0.9893161152046718,0.989010989010989,0.9890078632077915,experiment_20250329_002339
2,Botswana,cae,supervised,50,neural_network,0.9835164835164835,0.9838340311990486,0.9835164835164835,0.9835258517077725,experiment_20250329_002339
3,Botswana,cae,supervised,50,neural_network,0.9909733124018838,0.9909923975186518,0.9909733124018838,0.990947704474689,experiment_20250329_002339
4,Botswana,cae,supervised,50,neural_network,0.9811616954474097,0.9817099865000815,0.9811616954474097,0.9812112865637634,experiment_20250329_002339
5,Botswana,cae,supervised,50,neural_network,0.9882260596546311,0.9882773392195862,0.9882260596546311,0.9881627104234341,experiment_20250329_002339
6,Botswana,cae,supervised,50,neural_network,0.9905808477237049,0.9906329233986007,0.9905808477237049,0.9905753698685241,experiment_20250329_002339
7,Botswana,cae,supervised,50,neural_network,0.9835164835164835,0.9837301157526592,0.9835164835164835,0.9835227500498925,experiment_20250329_002339
8,Botswana,cae,supervised,50,neural_network,0.9913657770800628,0.9914386141200701,0.9913657770800628,0.9913739140365652,experiment_20250329_002339
9,Botswana,cae,supervised,50,neural_network,0.9846938775510204,0.9852411616559622,0.9846938775510204,0.9847286141960159,experiment_20250329_002339
0,Botswana,cae,supervised,50,random_forest,0.9686028257456829,0.9704373442901066,0.9686028257456829,0.9688123490121784,experiment_20250329_002315
1,Botswana,cae,supervised,50,random_forest,0.9870486656200942,0.9870824853534168,0.9870486656200942,0.9870082358953908,experiment_20250329_002315
2,Botswana,cae,supervised,50,random_forest,0.9713500784929356,0.972387020456266,0.9713500784929356,0.9714124892441169,experiment_20250329_002315
3,Botswana,cae,supervised,50,random_forest,0.9843014128728415,0.9842771545590661,0.9843014128728415,0.9842442343918835,experiment_20250329_002315
4,Botswana,cae,supervised,50,random_forest,0.9760596546310832,0.9763808502010282,0.9760596546310832,0.9759783349620968,experiment_20250329_002315
5,Botswana,cae,supervised,50,random_forest,0.9756671899529042,0.9760097921142875,0.9756671899529042,0.9756503881938604,experiment_20250329_002315
