split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
0,KSC,cae,supervised,50,logistic_regression,0.907476430607323,0.9093172745427216,0.907476430607323,0.9067648283186176,experiment_20250329_030736
1,KSC,cae,supervised,50,logistic_regression,0.8947599210699408,0.8998776641883278,0.8947599210699408,0.8959468240505135,experiment_20250329_030736
2,KSC,cae,supervised,50,logistic_regression,0.8971716728787547,0.8995610282007244,0.8971716728787547,0.8965150371652594,experiment_20250329_030736
3,KSC,cae,supervised,50,logistic_regression,0.8943214207410656,0.8984357436425275,0.8943214207410656,0.8934406057833104,experiment_20250329_030736
4,KSC,cae,supervised,50,logistic_regression,0.9052839289629467,0.9071799690579084,0.9052839289629467,0.9046582519885521,experiment_20250329_030736
5,KSC,cae,supervised,50,logistic_regression,0.8976101732076299,0.9011437415853679,0.8976101732076299,0.8974727904797764,experiment_20250329_030736
6,KSC,cae,supervised,50,logistic_regression,0.8995834246875685,0.9016206789159743,0.8995834246875685,0.899127422158954,experiment_20250329_030736
7,KSC,cae,supervised,50,logistic_regression,0.9068186801140101,0.907387441356234,0.9068186801140101,0.9059485697204366,experiment_20250329_030736
8,KSC,cae,supervised,50,logistic_regression,0.8969524227143171,0.8976503329955172,0.8969524227143171,0.8957489812832156,experiment_20250329_030736
9,KSC,cae,supervised,50,logistic_regression,0.9002411751808814,0.9008485438446134,0.9002411751808814,0.8985872137689197,experiment_20250329_030736
0,KSC,cae,supervised,50,neural_network,0.8680114010085508,0.870141033417467,0.8680114010085508,0.8578417832577081,experiment_20250329_030826
1,KSC,cae,supervised,50,neural_network,0.8601183950887963,0.8765895350326649,0.8601183950887963,0.8635598517111006,experiment_20250329_030826
2,KSC,cae,supervised,50,neural_network,0.8776584082438061,0.8767055185532261,0.8776584082438061,0.8761721169129059,experiment_20250329_030826
3,KSC,cae,supervised,50,neural_network,0.8577066432799825,0.8566279967366582,0.8577066432799825,0.8509366799204696,experiment_20250329_030826
4,KSC,cae,supervised,50,neural_network,0.8947599210699408,0.9057139305686802,0.8947599210699408,0.894059595006854,experiment_20250329_030826
5,KSC,cae,supervised,50,neural_network,0.8699846524884893,0.8677864373243621,0.8699846524884893,0.8667331114189639,experiment_20250329_030826
6,KSC,cae,supervised,50,neural_network,0.8574873931155448,0.8633818551853946,0.8574873931155448,0.8571372395991156,experiment_20250329_030826
7,KSC,cae,supervised,50,neural_network,0.8728349046261785,0.8734972830417909,0.8728349046261785,0.8708174734738191,experiment_20250329_030826
8,KSC,cae,supervised,50,neural_network,0.8756851567638676,0.8804972455773642,0.8756851567638676,0.8714265691257752,experiment_20250329_030826
9,KSC,cae,supervised,50,neural_network,0.8741504056128042,0.880561435906512,0.8741504056128042,0.8738439886327787,experiment_20250329_030826
0,KSC,cae,supervised,50,random_forest,0.9421179565884674,0.9443951694011762,0.9421179565884674,0.9421162089710193,experiment_20250329_030803
1,KSC,cae,supervised,50,random_forest,0.9239201929401447,0.9294648847850486,0.9239201929401447,0.9243251485406868,experiment_20250329_030803
2,KSC,cae,supervised,50,random_forest,0.9364174523130893,0.9410379693801928,0.9364174523130893,0.9371708205610999,experiment_20250329_030803
3,KSC,cae,supervised,50,random_forest,0.930716948037711,0.9327742505118598,0.930716948037711,0.9310690454814057,experiment_20250329_030803
4,KSC,cae,supervised,50,random_forest,0.9370752028064021,0.938574870224428,0.9370752028064021,0.9369733189527951,experiment_20250329_030803
5,KSC,cae,supervised,50,random_forest,0.9206314404735804,0.9245180994938583,0.9206314404735804,0.921177636360177,experiment_20250329_030803
6,KSC,cae,supervised,50,random_forest,0.9368559526419645,0.9392847313378085,0.9368559526419645,0.9372566279498353,experiment_20250329_030803
7,KSC,cae,supervised,50,random_forest,0.9335672001754002,0.9359401608855535,0.9335672001754002,0.9332687591491404,experiment_20250329_030803
8,KSC,cae,supervised,50,random_forest,0.9357597018197764,0.9367294977254671,0.9357597018197764,0.9356527843770884,experiment_20250329_030803
9,KSC,cae,supervised,50,random_forest,0.9245779434334576,0.9264302816635683,0.9245779434334576,0.9244176373016475,experiment_20250329_030803
0,KSC,cae,supervised,5,logistic_regression,0.8099101074325806,0.8206048749998796,0.8099101074325806,0.8129870442434035,experiment_20250329_030947
1,KSC,cae,supervised,5,logistic_regression,0.7884235913176935,0.806362751416683,0.7884235913176935,0.7911547112806416,experiment_20250329_030947
2,KSC,cae,supervised,5,logistic_regression,0.8112256084192063,0.821851815983665,0.8112256084192063,0.8113427142030272,experiment_20250329_030947
3,KSC,cae,supervised,5,logistic_regression,0.7846963385222538,0.8052887540909619,0.7846963385222538,0.7861917313193526,experiment_20250329_030947
4,KSC,cae,supervised,5,logistic_regression,0.7531243148432362,0.7751510802504813,0.7531243148432362,0.7522860869065625,experiment_20250329_030947
5,KSC,cae,supervised,5,logistic_regression,0.7476430607322956,0.7687680775862479,0.7476430607322956,0.7459186763405833,experiment_20250329_030947
6,KSC,cae,supervised,5,logistic_regression,0.7778995834246876,0.8159839358341239,0.7778995834246876,0.781375852621891,experiment_20250329_030947
7,KSC,cae,supervised,5,logistic_regression,0.7673755755316817,0.7904562324803391,0.7673755755316817,0.7696686040095878,experiment_20250329_030947
