split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
0,PaviaU,cae,supervised,50,logistic_regression,0.882767093512262,0.9026546312844443,0.882767093512262,0.8868808474958615,experiment_20250329_031304
1,PaviaU,cae,supervised,50,logistic_regression,0.8836648868307896,0.8989107236804733,0.8836648868307896,0.8868145073178204,experiment_20250329_031304
2,PaviaU,cae,supervised,50,logistic_regression,0.888839011482304,0.9038355209679717,0.888839011482304,0.8922281541920403,experiment_20250329_031304
3,PaviaU,cae,supervised,50,logistic_regression,0.9027548079194821,0.9109383045594837,0.9027548079194821,0.9045533413263234,experiment_20250329_031304
4,PaviaU,cae,supervised,50,logistic_regression,0.8967537683693239,0.9090759672670213,0.8967537683693239,0.8996211143074724,experiment_20250329_031304
5,PaviaU,cae,supervised,50,logistic_regression,0.8784907621792751,0.8956573318799391,0.8784907621792751,0.8822271463124479,experiment_20250329_031304
6,PaviaU,cae,supervised,50,logistic_regression,0.8770023153617162,0.8950605462686984,0.8770023153617162,0.8802387507608747,experiment_20250329_031304
7,PaviaU,cae,supervised,50,logistic_regression,0.8623541085857392,0.8828051278419852,0.8623541085857392,0.8658191527259941,experiment_20250329_031304
8,PaviaU,cae,supervised,50,logistic_regression,0.888650002362614,0.900812015045391,0.888650002362614,0.8916159734617849,experiment_20250329_031304
9,PaviaU,cae,supervised,50,logistic_regression,0.8637953031233757,0.8907456985433491,0.8637953031233757,0.8692622703583432,experiment_20250329_031304
0,PaviaU,cae,supervised,50,neural_network,0.9112602183055333,0.926917518709988,0.9112602183055333,0.9142162193257647,experiment_20250329_031344
1,PaviaU,cae,supervised,50,neural_network,0.8687331663752776,0.8962668014148778,0.8687331663752776,0.8734967605264091,experiment_20250329_031344
2,PaviaU,cae,supervised,50,neural_network,0.9027311817795208,0.9145331312930213,0.9027311817795208,0.9052206396858763,experiment_20250329_031344
3,PaviaU,cae,supervised,50,neural_network,0.915442045078675,0.9174137927634689,0.915442045078675,0.9160504381967869,experiment_20250329_031344
4,PaviaU,cae,supervised,50,neural_network,0.8930208382554459,0.9063555934255667,0.8930208382554459,0.8950626096397145,experiment_20250329_031344
5,PaviaU,cae,supervised,50,neural_network,0.8752539810045835,0.9017591450115265,0.8752539810045835,0.880796850378582,experiment_20250329_031344
6,PaviaU,cae,supervised,50,neural_network,0.8896895525209091,0.9056773407619364,0.8896895525209091,0.8927749674783899,experiment_20250329_031344
7,PaviaU,cae,supervised,50,neural_network,0.824434153947928,0.8776726099521136,0.824434153947928,0.8304650079927501,experiment_20250329_031344
8,PaviaU,cae,supervised,50,neural_network,0.9071492699522752,0.910255923991375,0.9071492699522752,0.9079827655540302,experiment_20250329_031344
9,PaviaU,cae,supervised,50,neural_network,0.8938477531540897,0.9093713563011442,0.8938477531540897,0.897128333866643,experiment_20250329_031344
0,PaviaU,cae,supervised,50,random_forest,0.9080706894107641,0.916199600006144,0.9080706894107641,0.9095705871074286,experiment_20250329_031324
1,PaviaU,cae,supervised,50,random_forest,0.8724660964891556,0.8956935661018093,0.8724660964891556,0.8766120520459852,experiment_20250329_031324
