split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
0,Salinas,cae,supervised,50,logistic_regression,0.8837780569671286,0.8845935442372845,0.8837780569671286,0.883751392940982,experiment_20250329_031432
1,Salinas,cae,supervised,50,logistic_regression,0.8756773987886516,0.8803392920728186,0.8756773987886516,0.8764503735620035,experiment_20250329_031432
2,Salinas,cae,supervised,50,logistic_regression,0.8596073430966266,0.8737175699390152,0.8596073430966266,0.8597651452839888,experiment_20250329_031432
3,Salinas,cae,supervised,50,logistic_regression,0.8770275084850644,0.8846924660481511,0.8770275084850644,0.8773739467945192,experiment_20250329_031432
4,Salinas,cae,supervised,50,logistic_regression,0.9017232650152824,0.9005331918668152,0.9017232650152824,0.9008856141590489,experiment_20250329_031432
5,Salinas,cae,supervised,50,logistic_regression,0.8908473813497346,0.8900539058514086,0.8908473813497346,0.8902755237297572,experiment_20250329_031432
6,Salinas,cae,supervised,50,logistic_regression,0.8664516491964972,0.8728151831004041,0.8664516491964972,0.8670841721949392,experiment_20250329_031432
7,Salinas,cae,supervised,50,logistic_regression,0.8964540868945602,0.8974814750965078,0.8964540868945602,0.8964102086588357,experiment_20250329_031432
8,Salinas,cae,supervised,50,logistic_regression,0.895535262240057,0.8966391184636953,0.895535262240057,0.8957064960422907,experiment_20250329_031432
9,Salinas,cae,supervised,50,logistic_regression,0.8825592079356448,0.8865109450355358,0.8825592079356448,0.8830942163758464,experiment_20250329_031432
0,Salinas,cae,supervised,50,neural_network,0.8840030752498641,0.8943001670326277,0.8840030752498641,0.8840508235926322,experiment_20250329_031516
1,Salinas,cae,supervised,50,neural_network,0.887172082731722,0.8860102698087726,0.887172082731722,0.8864670133053337,experiment_20250329_031516
2,Salinas,cae,supervised,50,neural_network,0.8825404564120835,0.8827985859525874,0.8825404564120835,0.8824126753675362,experiment_20250329_031516
3,Salinas,cae,supervised,50,neural_network,0.8909036359204185,0.8973595893854142,0.8909036359204185,0.891115605800833,experiment_20250329_031516
4,Salinas,cae,supervised,50,neural_network,0.8903410902135799,0.9022365098437702,0.8903410902135799,0.8900993074163912,experiment_20250329_031516
5,Salinas,cae,supervised,50,neural_network,0.8992668154287536,0.8976039338284373,0.8992668154287536,0.8975332279307073,experiment_20250329_031516
6,Salinas,cae,supervised,50,neural_network,0.8679330195578391,0.887369891823321,0.8679330195578391,0.8668748185057659,experiment_20250329_031516
7,Salinas,cae,supervised,50,neural_network,0.9059423578165726,0.9052545470310606,0.9059423578165726,0.9053107170540725,experiment_20250329_031516
8,Salinas,cae,supervised,50,neural_network,0.9122053666860432,0.9110626858976476,0.9122053666860432,0.9109900510080218,experiment_20250329_031516
9,Salinas,cae,supervised,50,neural_network,0.8967541112715408,0.9008270521540901,0.8967541112715408,0.896927350635587,experiment_20250329_031516
0,Salinas,cae,supervised,50,random_forest,0.9078925162669467,0.9071900545926828,0.9078925162669467,0.9072742471016995,experiment_20250329_031452
1,Salinas,cae,supervised,50,random_forest,0.9048922724971404,0.9053776930662907,0.9048922724971404,0.9046619553598542,experiment_20250329_031452
2,Salinas,cae,supervised,50,random_forest,0.8807028071030771,0.8982393142401074,0.8807028071030771,0.88000350204157,experiment_20250329_031452
3,Salinas,cae,supervised,50,random_forest,0.9012357254026889,0.9075976938325341,0.9012357254026889,0.9011302601150708,experiment_20250329_031452
4,Salinas,cae,supervised,50,random_forest,0.9116990755498884,0.9104865429936524,0.9116990755498884,0.9109348799230479,experiment_20250329_031452
5,Salinas,cae,supervised,50,random_forest,0.9095051472932175,0.9088792486286763,0.9095051472932175,0.9087882482263916,experiment_20250329_031452
6,Salinas,cae,supervised,50,random_forest,0.88089032233869,0.8854126761170111,0.88089032233869,0.8815116427275478,experiment_20250329_031452
7,Salinas,cae,supervised,50,random_forest,0.9080800315025596,0.9104220320966168,0.9080800315025596,0.9078523463712442,experiment_20250329_031452
8,Salinas,cae,supervised,50,random_forest,0.9139867614243657,0.9156297750397552,0.9139867614243657,0.9139423310408556,experiment_20250329_031452
9,Salinas,cae,supervised,50,random_forest,0.9147743254139399,0.9139587668437976,0.9147743254139399,0.9142424196942212,experiment_20250329_031452
0,Salinas,cae,supervised,5,logistic_regression,0.8122034915336871,0.8206773638041509,0.8122034915336871,0.8137822085045522,experiment_20250329_031606
1,Salinas,cae,supervised,5,logistic_regression,0.8182789851675448,0.8292768036237566,0.8182789851675448,0.8195559417157099,experiment_20250329_031606
2,Salinas,cae,supervised,5,logistic_regression,0.8386806428022276,0.8448607745160109,0.8386806428022276,0.8402136094806857,experiment_20250329_031606
3,Salinas,cae,supervised,5,logistic_regression,0.8234919087175833,0.8613347682749848,0.8234919087175833,0.8141834063765351,experiment_20250329_031606
4,Salinas,cae,supervised,5,logistic_regression,0.8156725233925256,0.8042310143371867,0.8156725233925256,0.8081550012409593,experiment_20250329_031606
5,Salinas,cae,supervised,5,logistic_regression,0.8074406045491196,0.8384221389408202,0.8074406045491196,0.8050789222625554,experiment_20250329_031606
6,Salinas,cae,supervised,5,logistic_regression,0.8199666222880609,0.8233612870068934,0.8199666222880609,0.820490381818723,experiment_20250329_031606
7,Salinas,cae,supervised,5,logistic_regression,0.8450186577659435,0.8458179815271082,0.8450186577659435,0.8435845114812252,experiment_20250329_031606
8,Salinas,cae,supervised,5,logistic_regression,0.8375555513885503,0.8322124897197553,0.8375555513885503,0.8319728351465012,experiment_20250329_031606
9,Salinas,cae,supervised,5,logistic_regression,0.8001837649309006,0.8328946762311442,0.8001837649309006,0.7887984166948185,experiment_20250329_031606
0,Salinas,cae,supervised,5,neural_network,0.8084156837743066,0.8118696985228205,0.8084156837743066,0.8090177874868335,experiment_20250329_031641
1,Salinas,cae,supervised,5,neural_network,0.7961334358416622,0.8066102842962406,0.7961334358416622,0.7973566472352921,experiment_20250329_031641
2,Salinas,cae,supervised,5,neural_network,0.8249920306024865,0.8260790277043898,0.8249920306024865,0.8250146876120464,experiment_20250329_031641
3,Salinas,cae,supervised,5,neural_network,0.8087532111984098,0.8491228090351106,0.8087532111984098,0.7946446024912708,experiment_20250329_031641
4,Salinas,cae,supervised,5,neural_network,0.8170226330889385,0.8113420645609125,0.8170226330889385,0.8137331343757341,experiment_20250329_031641
5,Salinas,cae,supervised,5,neural_network,0.7869451892966304,0.8052190009737218,0.7869451892966304,0.7858118010873935,experiment_20250329_031641
6,Salinas,cae,supervised,5,neural_network,0.8222730596860995,0.8220462380726994,0.8222730596860995,0.8216300793865169,experiment_20250329_031641
7,Salinas,cae,supervised,5,neural_network,0.8202666466650416,0.8426503355003822,0.8202666466650416,0.8207024724015429,experiment_20250329_031641
8,Salinas,cae,supervised,5,neural_network,0.8392806915561889,0.8339116412091987,0.8392806915561889,0.8324215863173169,experiment_20250329_031641
9,Salinas,cae,supervised,5,neural_network,0.8192353128691706,0.8392573691321649,0.8192353128691706,0.8143544463653,experiment_20250329_031641
0,Salinas,cae,supervised,5,random_forest,0.8209979560839318,0.823789546674851,0.8209979560839318,0.8201426535451365,experiment_20250329_031623
1,Salinas,cae,supervised,5,random_forest,0.8184289973560351,0.8369626684547772,0.8184289973560351,0.8165692211279881,experiment_20250329_031623
2,Salinas,cae,supervised,5,random_forest,0.8434435297867952,0.8448744347930971,0.8434435297867952,0.8433693778168263,experiment_20250329_031623
3,Salinas,cae,supervised,5,random_forest,0.8159162931988224,0.8648768046860147,0.8159162931988224,0.8000787314324673,experiment_20250329_031623
4,Salinas,cae,supervised,5,random_forest,0.8341240225768344,0.8288767322319335,0.8341240225768344,0.8306103105432286,experiment_20250329_031623
5,Salinas,cae,supervised,5,random_forest,0.8326051491683699,0.8593589475468941,0.8326051491683699,0.8326585546621291,experiment_20250329_031623
6,Salinas,cae,supervised,5,random_forest,0.8219730353091189,0.8287242789912825,0.8219730353091189,0.8227139818097537,experiment_20250329_031623
7,Salinas,cae,supervised,5,random_forest,0.833842749723415,0.8500721225281078,0.833842749723415,0.8343266952062315,experiment_20250329_031623
8,Salinas,cae,supervised,5,random_forest,0.8185227549738416,0.8203877348672581,0.8185227549738416,0.818268616820868,experiment_20250329_031623
9,Salinas,cae,supervised,5,random_forest,0.8005025408314426,0.8461447934277513,0.8005025408314426,0.784980503057762,experiment_20250329_031623
0,Salinas,cae,assemble,10,logistic_regression,0.41814022389319133,0.4709502659306131,0.41814022389319133,0.3923785252831659,experiment_20250524_030853
1,Salinas,cae,assemble,10,logistic_regression,0.8537006131748205,0.8489698469066107,0.8537006131748205,0.8466790339555181,experiment_20250524_030853
2,Salinas,cae,assemble,10,logistic_regression,0.8377805696712858,0.8637055599277552,0.8377805696712858,0.8342655883419743,experiment_20250524_030853
3,Salinas,cae,assemble,10,logistic_regression,0.47094451424178213,0.6245053406448902,0.47094451424178213,0.43482134986228693,experiment_20250524_030853
4,Salinas,cae,assemble,10,logistic_regression,0.49860301149468395,0.5622893090199436,0.49860301149468395,0.4789810003903152,experiment_20250524_030853
5,Salinas,cae,assemble,10,logistic_regression,0.8175851787957772,0.838297496685731,0.8175851787957772,0.8178752101595554,experiment_20250524_030853
6,Salinas,cae,assemble,10,logistic_regression,0.4169588779088301,0.49315945238971776,0.4169588779088301,0.38778091306889895,experiment_20250524_030853
